IdEvaluacion;FechaEvaluacion;IdJugador;IdPosicion;PesoBrutoKg;TallaCorporalCm;TallaSentadoCM;DiametroBiacromial;DiametroToraxTransverso;DiametroToraxAnteroPosterior;DiametroBi-iliocrestideo;DiametroHumeralBiepicondilar;DiametroFemoralBiepicondilar;PerimetroCabeza;PerimetroBrazoRelajado;PerimetroBrazoFlexionadoEnTension;PerimetroAntebrazoMaximo;PerimetroToraxMesoesternal;PerimetroCinturaMinima;PerimetroCaderaMaximo;PerimetroMusloMaximo;PerimetroMusloMedial;PerimetroPantorrillaMaxima;PlieguesTriceps;PlieguesSubescapular;PlieguesSupraespinal;PlieguesAbdominal;PlieguesMusloMedial;PlieguesPantorrilla;Bicipital;Supracrestideo;Sumatoria 6 pliegues;Sumatoria 8 pliegues;MasaPielKg;MasaPielPer;MasaAdiposaKg;MasaAdiposaPer;MasaMuscularKg;MasaMuscularPer;MasaResidualKg;MasaResidualPer;MasaOseaKg;MasaOseaPer;IMO;IAM;ObjetivoGeneral;ObjetivoEspecifico;Comentarios;;
49;26/07/2023;303;16;73.4;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;28.7;32.6;25.9;97.1;77.4;97.4;56.9;55.4;37.4;8;7.2;8.2;8.8;7.2;4;;;43.4;;3.99;0.054;15.19;0.206;37.12;0.504;8.92;0.121;8.46;0.115;4.39;0.41;;;;;
50;16/08/2023;303;16;74.0;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;28.4;32.7;26;97.9;78;97.6;57;55.7;37.3;7.2;7;9;9.8;7;4;;;44;;3.99;0.054;15.30;0.206;37.55;0.506;8.98;0.121;8.46;0.114;4.44;0.41;;;;;
51;19/10/2023;303;16;74.2;179.5;93.3;41.3;29.3;20.7;26.8;7.2;10;55.2;28.8;32.5;25.9;96.9;81.4;98.1;56.8;55.6;36.9;8;7.8;8.8;10.4;8;4.2;;;47.2;;3.99;0.054;15.90;0.213;36.60;0.491;9.58;0.129;8.46;0.114;4.33;0.43;Disminuir Masa Adiposa;1500;El porcentaje de t adiposo puede elevarse como consecuencia de una m muscular dimisnuída. Obj final +2 Kg m. muscular;;
52;29/03/2023;316;16;71.8;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;30.5;33.4;25.6;92.9;75.6;96.4;55.9;55.4;36.4;6.2;8.4;10.2;16.4;6.8;5.4;;;53.4;;3.93;0.055;16.54;0.231;34.96;0.489;7.94;0.111;8.16;0.114;4.28;0.47;;;;;
53;3/05/2023;316;16;72.0;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;30.3;33.4;26.2;92.9;75.2;95.7;56.3;56;36.7;6.2;8.4;8.4;14.8;6.6;4.6;;;49;;3.93;0.055;15.74;0.221;35.56;0.498;7.96;0.112;8.16;0.114;4.36;0.44;;;;;
54;12/06/2023;316;16;74.6;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;31.2;34.3;26.4;93.6;77.4;96;57.1;56.5;36.6;7.2;8.8;10.8;12.8;8.8;4.4;;;52.8;;3.93;0.054;16.43;0.225;36.17;0.494;8.48;0.116;8.16;0.112;4.43;0.45;;;;;
55;18/07/2023;316;16;74.3;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;31.4;34.3;26;94.2;76.9;96.8;57.4;55.9;36.4;7;8.6;9.8;16.4;7.2;5;;;54;;3.93;0.054;16.65;0.227;36.57;0.498;8.18;0.111;8.16;0.111;4.48;0.46;;;;;
56;23/08/2023;316;16;74.5;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;31.1;34.5;26.2;94.3;77;96.6;57.7;55.9;36.5;6.8;8.6;10.2;18;7;5;;;55.6;;3.93;0.053;16.94;0.229;36.79;0.498;8.11;0.110;8.16;0.110;4.51;0.46;;;;;
57;29/09/2023;316;16;73.9;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;31;34.4;26.3;96.1;75.2;96.4;58.5;57.6;36.4;7;8.2;9.2;18;6.6;4.2;;;53.2;;3.93;0.053;16.50;0.222;38.05;0.511;7.78;0.105;8.16;0.110;4.66;0.43;;;;;
58;18/10/2023;316;16;73.3;177.2;92.2;39.3;28.4;20.7;26.8;7.2;10;56.5;30.6;34.6;25.9;95.6;76.3;96.3;57.3;56.6;36.6;6.6;8.4;9.2;18;6.6;4.4;;;53.2;;3.93;0.053;16.50;0.224;37.07;0.503;7.98;0.108;8.16;0.111;4.54;0.45;Disminuir Masa Adiposa;500;Se debe disminuir el porcentaje de t. adiposo. Obj final: - 2 Kg;;
59;24/03/2023;324;16;73.4;174.5;93.8;39.8;31;20.2;28.4;7;10;56.6;31.4;33.8;27.8;101.2;78.2;96.4;57.2;55.8;35.8;4.8;7.2;5.8;5.8;5.2;4;;;32.8;;3.86;0.052;12.30;0.164;40.58;0.541;9.50;0.127;8.71;0.116;4.66;0.30;;;;;
60;19/05/2023;324;16;72.3;174.5;93.8;39.8;31;20.2;28.4;7;10;56.6;32.2;33.7;28.4;101.8;78.4;95.8;57.4;56;35.8;4.2;8;5;5.4;5.4;3.8;;;31.8;;3.86;0.051;12.12;0.160;41.46;0.548;9.56;0.126;8.71;0.115;4.76;0.29;Mantener Composición Corporal;0;El jugador mantiene una adecuada composición;;
61;17/03/2023;314;17;77.2;184;99.7;42.3;29.3;19.7;28;7;10.3;56.2;33.6;37.3;27.7;98.3;75.8;95.6;58.6;57.8;35.6;7.2;7.4;8.6;9.2;7.4;5.8;;;45.6;;4.19;0.053;16.58;0.210;40.63;0.515;8.46;0.107;9.10;0.115;4.46;0.41;;;;;
62;19/05/2023;314;17;75.3;184;99.7;42.3;29.3;19.7;28;7;10.3;56.2;33;36.9;27.9;98.3;74.7;93.3;58.6;57.1;35.6;7.2;7;7.8;9;6.8;5;;;42.8;;4.19;0.054;16.03;0.205;40.71;0.520;8.24;0.105;9.10;0.116;4.47;0.39;;;;;
63;16/08/2023;314;17;77.7;184;99.7;42.3;29.3;19.7;28;7;10.3;56.2;32.3;36.5;27.9;98.4;76.1;95.4;59.3;58.6;36.1;6.8;7.4;6.8;9.2;6.6;3.8;;;40.6;;4.19;0.053;15.60;0.198;41.18;0.524;8.52;0.108;9.10;0.116;4.53;0.38;;;;;
64;27/09/2023;314;17;78.6;184;99.7;42.3;29.3;19.7;28;7;10.3;56.2;32.6;36.6;28.2;100.1;75.6;95.6;60.3;58.8;35.8;6.6;7.6;8.8;8.2;6.6;3.2;;;41;;4.19;0.052;15.68;0.196;42.65;0.533;8.48;0.106;9.10;0.114;4.69;0.37;;;;;
65;20/10/2023;314;17;79.8;184;99.7;42.3;29.3;19.7;28;7;10.3;56.2;33.2;36.7;28;100.6;75.7;96;61.6;58.9;35.9;6.2;7.6;7.4;7.4;6.6;3.2;;;38.4;;4.19;0.052;15.16;0.188;43.76;0.542;8.56;0.106;9.10;0.113;4.81;0.35;Disminuir Masa Adiposa;500;Se debe mejorar el porcentaje de tejido adiposo.;;
