IdInscripcion;IdJugador;Tipo;Fecha;IdCT;IdEquipo;IdPosicion;;;;;;;;;;;;;
215;66;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
216;67;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
217;76;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
218;80;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
219;84;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
220;284;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
221;285;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
222;286;Habilitado;15/07/2023;7;1; ;;;;;;;;;;;;;
223;69;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
224;82;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
225;64;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
226;65;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
227;68;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
228;71;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
229;73;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
230;74;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
231;78;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
232;79;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
233;282;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
234;61;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
235;63;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
236;70;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
237;72;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
238;56;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
239;77;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
240;81;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
