IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
104;6;4;1;27;11/03/2023;Temp. 2023 - APERTURA - Jornada: 4 - Cat. SUB-16 - Universidad de Chile vs O'Higgins;3;3;1;0;;;;;;;;;;;;;;
105;6;5;25;1;18/03/2023;Temp. 2023 - APERTURA - Jornada: 5 - Cat. SUB-16 - Palestino vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
106;6;6;1;13;25/03/2023;Temp. 2023 - APERTURA - Jornada: 6 - Cat. SUB-16 - Universidad de Chile vs Universidad Catolica;1;3;1;0;;;;;;;;;;;;;;
107;6;7;35;1;1/04/2023;Temp. 2023 - APERTURA - Jornada: 7 - Cat. SUB-16 - Universidad de Concepción vs Universidad de Chile;3;4;0;1;;;;;;;;;;;;;;
108;6;8;1;9;15/04/2023;Temp. 2023 - APERTURA - Jornada: 8 - Cat. SUB-16 - Universidad de Chile vs Unión Española;0;1;1;0;;;;;;;;;;;;;;
109;6;9;3;1;22/04/2023;Temp. 2023 - APERTURA - Jornada: 9 - Cat. SUB-16 - Colo-Colo vs Universidad de Chile;5;1;0;0;;;;;;;;;;;;;;
110;6;10;20;1;3/05/2023;Temp. 2023 - APERTURA - Jornada: 10 - Cat. SUB-16 - Deportes Temuco vs Universidad de Chile;5;2;0;0;;;;;;;;;;;;;;
111;6;11;1;4;6/05/2023;Temp. 2023 - APERTURA - Jornada: 11 - Cat. SUB-16 - Universidad de Chile vs Audax Italiano;1;2;1;0;;;;;;;;;;;;;;
112;6;12;1;2;13/05/2023;Temp. 2023 - APERTURA - Jornada: 12 - Cat. SUB-16 - Universidad de Chile vs Curicó Unido;1;2;1;0;;;;;;;;;;;;;;
113;6;13;14;1;20/05/2023;Temp. 2023 - APERTURA - Jornada: 13 - Cat. SUB-16 - Cobresal vs Universidad de Chile;4;2;0;0;;;;;;;;;;;;;;
114;6;14;1;6;27/05/2023;Temp. 2023 - APERTURA - Jornada: 14 - Cat. SUB-16 - Universidad de Chile vs Coquimbo Unido;2;2;1;0;;;;;;;;;;;;;;
115;6;15;1;18;3/06/2023;Temp. 2023 - APERTURA - Jornada: 15 - Cat. SUB-16 - Universidad de Chile vs Santiago Wanderers;1;1;1;0;;;;;;;;;;;;;;
116;7;1;1;5;6/08/2023;Temp. 2023 - CLAUSURA - Jornada: 1 - Cat. SUB-16 - Universidad de Chile vs Everton;3;0;1;1;;;;;;;;;;;;;;
117;7;2;8;1;12/08/2023;Temp. 2023 - CLAUSURA - Jornada: 2 - Cat. SUB-16 - Huachipato vs Universidad de Chile;0;2;0;1;;;;;;;;;;;;;;
118;7;3;1;10;20/08/2023;Temp. 2023 - CLAUSURA - Jornada: 3 - Cat. SUB-16 - Universidad de Chile vs Magallanes;1;3;1;0;;;;;;;;;;;;;;
119;7;4;27;1;16/08/2023;Temp. 2023 - CLAUSURA - Jornada: 4 - Cat. SUB-16 - O'Higgins vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
120;7;5;1;25;2/09/2023;Temp. 2023 - CLAUSURA - Jornada: 5 - Cat. SUB-16 - Universidad de Chile vs Palestino;1;0;1;1;;;;;;;;;;;;;;
121;7;6;13;1;6/09/2023;Temp. 2023 - CLAUSURA - Jornada: 6 - Cat. SUB-16 - Universidad Catolica vs Universidad de Chile;3;2;0;0;;;;;;;;;;;;;;
122;7;7;1;35;9/09/2023;Temp. 2023 - CLAUSURA - Jornada: 7 - Cat. SUB-16 - Universidad de Chile vs Universidad de Concepción;2;4;1;0;;;;;;;;;;;;;;
123;7;8;9;1;23/09/2023;Temp. 2023 - CLAUSURA - Jornada: 8 - Cat. SUB-16 - Unión Española vs Universidad de Chile;5;2;0;0;;;;;;;;;;;;;;
124;7;9;1;3;1/10/2023;Temp. 2023 - CLAUSURA - Jornada: 9 - Cat. SUB-16 - Universidad de Chile vs Colo-Colo;2;2;1;0;;;;;;;;;;;;;;
125;7;10;1;20;8/10/2023;Temp. 2023 - CLAUSURA - Jornada: 10 - Cat. SUB-16 - Universidad de Chile vs Deportes Temuco;4;3;1;1;;;;;;;;;;;;;;
126;7;11;4;1;15/10/2023;Temp. 2023 - CLAUSURA - Jornada: 11 - Cat. SUB-16 - Audax Italiano vs Universidad de Chile;5;3;0;0;;;;;;;;;;;;;;
